Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
asli_Cyttaria_espinosae27.png,Cyttaria_espinosae,977.600303030303,1064.3573104785225,712.3450505050505,1119.0102030405062,0.056304597878715945,0.051346070583479765,0.07282308793631426,0.05221638867534886,23.026161616161612,24.096520763187428,19.05959595959596,24.580246913580243,9.04171724974855,9.07502883843847,8.953078295183685,9.071040068016654,0.00014775022956841139,0.0001417661520372128,0.00016682481379451077,0.00014345781011520126,0.012155255224322169,0.0119065592022722,0.012916068046991342,0.01197738744949003,0.7598596046952253,0.7392498672988067,0.8247205757977365,0.7259275027940691
asli_Cyttaria_espinosae28.png,Cyttaria_espinosae,190.23393939393944,394.9521477400265,289.1487878787879,374.97632894602594,0.16133771017280693,0.10001790221457965,0.13854047916811943,0.11553605213419052,9.03737373737374,13.546985001530457,11.020101010101012,13.223854708703197,8.621833255834476,8.912960149679048,8.747056696577916,8.884314591978283,0.00024474543413937364,0.0001722159974410054,0.0002099734720946843,0.00017845170937155988,0.01564434192094297,0.013123109290141776,0.014490461417590687,0.013358581862292116,0.9619982776156951,0.9203529584620881,0.9418551180198339,0.9243806277206473
asli_Cyttaria_espinosae29.png,Cyttaria_espinosae,759.0942424242423,1180.8430772370166,782.3280808080808,1243.7323742475257,0.19896674894354766,0.1501477613244887,0.18034821018005415,0.16111064598587665,13.53080808080808,18.048260381593714,14.412727272727274,18.347209468421593,8.616415623262364,8.776282903481134,8.645468496615429,8.749372209035943,0.0015091776349352105,0.0013207685507667264,0.0018001785532088558,0.0013696444564661476,0.03884813554001287,0.036342379541889194,0.04242851108875795,0.037008707846480506,0.94111575991502,0.907790852197294,0.9393280177975019,0.9028836057893177
asli_Cyttaria_espinosae3 - 180.png,Cyttaria_espinosae,126.58515151515154,229.8415467809407,153.3837373737374,257.0556065707581,0.16557757791374544,0.12292910879332002,0.15866774404167625,0.11256166398347407,7.403333333333335,9.888072645648403,7.72959595959596,10.546474849505154,8.202682604385728,8.41532741270473,8.212504663954055,8.445631949989473,0.0004008264462809919,0.00031197818529352415,0.00040122946638098165,0.00030055298688987895,0.020020650495950223,0.017662904214582723,0.02003071307719677,0.01733646408267496,0.9555530598196278,0.9198529706566635,0.9463205582973725,0.9103523094268887
asli_Cyttaria_espinosae3.png,Cyttaria_espinosae,126.58515151515154,229.8415467809407,153.3837373737374,257.0556065707581,0.16557757791374544,0.12292910879332002,0.15866774404167625,0.11256166398347407,7.403333333333335,9.888072645648403,7.72959595959596,10.546474849505154,8.202682604385728,8.41532741270473,8.212504663954055,8.445631949989473,0.0004008264462809919,0.00031197818529352415,0.00040122946638098165,0.00030055298688987895,0.020020650495950223,0.017662904214582723,0.02003071307719677,0.01733646408267496,0.9555530598196278,0.9198529706566635,0.9463205582973725,0.9103523094268887
asli_Cyttaria_espinosae30.png,Cyttaria_espinosae,919.049898989899,1062.8634833180288,697.7427272727273,1227.9940822365065,0.06005305702567013,0.05053201335729286,0.07139003059293457,0.050304794094745114,21.047474747474748,23.13284358738904,18.23020202020202,24.881134578104273,8.935741121602888,8.991744772399864,8.85713885446117,9.017794412042749,0.00017502805836139168,0.00016143102655610656,0.00019161820222426284,0.0001567360247519662,0.013229817019195378,0.01270555101347858,0.013842622664230317,0.012519425895462068,0.7064672243421907,0.6618216821062587,0.7772516463274527,0.6092707889522736
asli_Cyttaria_espinosae31.png,Cyttaria_espinosae,963.7475757575758,2062.632078359351,1742.925252525252,1996.6689113355778,0.4460695838779466,0.3820694453469232,0.410383908080123,0.386699920344887,14.858282828282828,21.759922456892156,18.923434343434337,21.42679318436894,6.176547747205393,6.375364496164467,6.254769800425601,6.3816761588514215,0.08924237322722173,0.07633104784601386,0.0850150086725844,0.07700948601691567,0.2987346200680827,0.276280740997294,0.29157333326726637,0.27750583059985545,0.9123244464578948,0.809883246884642,0.8390078472760292,0.815958444885516
asli_Cyttaria_espinosae4 - 180.png,Cyttaria_espinosae,534.2724242424243,857.1550862156924,539.5648484848485,773.939495969799,0.1101509164909199,0.08680669969701259,0.10820029413218692,0.08824676514135117,14.48818181818182,17.93133353739415,14.576363636363634,17.613202734414863,8.938994220088981,9.04580546662356,8.954489308815008,9.053659411769235,0.0001692429343944496,0.00014879824453986653,0.00016638608305274974,0.00014583133652616365,0.013009340275142686,0.012198288590612477,0.012899072953230001,0.012076064612536803,0.9350764387095205,0.8955520486484981,0.9337219885077699,0.905690611079428
asli_Cyttaria_espinosae4.png,Cyttaria_espinosae,534.2724242424243,857.1550862156924,539.5648484848485,773.939495969799,0.1101509164909199,0.08680669969701259,0.10820029413218692,0.08824676514135117,14.48818181818182,17.93133353739415,14.576363636363634,17.613202734414863,8.938994220088981,9.04580546662356,8.954489308815008,9.053659411769235,0.0001692429343944496,0.00014879824453986653,0.00016638608305274974,0.00014583133652616365,0.013009340275142686,0.012198288590612477,0.012899072953230001,0.012076064612536803,0.9350764387095205,0.8955520486484981,0.9337219885077699,0.905690611079428
asli_Cyttaria_espinosae5.png,Cyttaria_espinosae,434.42777777777775,694.6915620855013,474.9901010101011,852.4193449647994,0.16566066946285768,0.13887827001739347,0.17556071950454447,0.12834852661495239,11.198686868686869,14.095704519946946,11.04707070707071,15.411284562799713,8.708324314517538,8.818257971303368,8.667925933699843,8.878806748894661,0.0002431843689419447,0.00021037980368042545,0.00025901438628711364,0.0001985434022362845,0.015594369783416856,0.014504475298349315,0.016093923893417468,0.014090543007147897,0.9532212383368651,0.9250229999778844,0.9487819008093218,0.9079833641670387
asli_Cyttaria_espinosae6.png,Cyttaria_espinosae,228.88434343434344,456.6564636261606,324.71575757575766,464.6424854606672,0.21526959523946385,0.1193950533949449,0.14038302143079617,0.12279013895650859,8.496666666666666,13.122946638098151,10.826262626262627,12.793694520967247,8.224156546149276,8.58538717849814,8.473308086880252,8.542857796888857,0.00052722681359045,0.00030755384878186203,0.00034766350372410985,0.0003200721185589768,0.022961420112668336,0.017537213255869988,0.018645736878013425,0.017890559481440953,0.9489720969634476,0.8967384644368585,0.9266425068638963,0.8949514044576594
